Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000298039	MAG	1796363	178	13674	36.48	88.45	1.57	0.0	0.0	0.0	17	GCA_013333875	MGYG000298039	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__JABCPE02;s__JABCPE02 sp013333875	SAMN14602638	SRP256368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298039/genomes1/MGYG000298039.gff.gz
MGYG000298040	MAG	1949330	35	138546	47.62	99.14	0.0	0.0	0.0	0.0	19	CAJPNL01	MGYG000298040	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas endodontalis	ERS6080615	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298040/genomes1/MGYG000298040.gff.gz
MGYG000298041	MAG	1345746	423	3903	28.57	76.81	0.09	0.0	0.0	0.0	2	GCA_015257375	MGYG000298041	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Peptoanaerobacter;s__	SAMN14570677	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298041/genomes1/MGYG000298041.gff.gz
MGYG000298043	MAG	1457245	149	13174	50.7	86.56	0.07	0.0	0.0	0.0	18	CAJPRE01	MGYG000298043	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Cryptobacterium;s__Cryptobacterium curtum	ERS6080717	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298043/genomes1/MGYG000298043.gff.gz
MGYG000298045	MAG	3156186	3	3024186	36.24	92.82	0.0	0.0	99.67	99.86	20	CAKAER01	MGYG000298045	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catonella;s__	ERS7766766	DRP005925	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298045/genomes1/MGYG000298045.gff.gz
MGYG000298046	MAG	2549426	149	25425	39.49	98.57	0.0	0.0	0.0	0.0	19	CAJPNJ01	MGYG000298046	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga ochracea	ERS6080595	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298046/genomes1/MGYG000298046.gff.gz
MGYG000298049	MAG	2059687	506	5274	43.87	85.2	0.51	0.0	0.0	9.95	17	GCA_015263325	MGYG000298049	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__Oribacterium sinus	SAMN14570856	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298049/genomes1/MGYG000298049.gff.gz
MGYG000298050	MAG	3132726	256	17608	47.38	92.09	0.34	0.0	0.0	0.0	16	CAJPPB01	MGYG000298050	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella conceptionensis	ERS6080655	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298050/genomes1/MGYG000298050.gff.gz
MGYG000298052	MAG	1046870	1	1046870	38.64	50.06	0.01	93.28	99.74	99.76	20	CAKAHR01	MGYG000298052	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	ERS7766736	DRP005925	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298052/genomes1/MGYG000298052.gff.gz
MGYG000298053	MAG	2144927	86	38758	61.57	97.3	2.25	0.0	24.53	0.0	18	CAJPRS01	MGYG000298053	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia cardiffensis	ERS6080714	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298053/genomes1/MGYG000298053.gff.gz
MGYG000298054	MAG	2340265	219	16254	59.29	94.75	0.88	0.0	0.0	0.0	20	CAJPRL01	MGYG000298054	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium;s__Cardiobacterium hominis	ERS6080705	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298054/genomes1/MGYG000298054.gff.gz
MGYG000298055	MAG	1641327	65	43460	41.8	87.91	0.29	93.28	0.0	41.68	9	CAJPQX01	MGYG000298055	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp900555155	ERS6080697	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298055/genomes1/MGYG000298055.gff.gz
MGYG000298059	MAG	1251412	271	4912	39.52	57.84	0.34	0.0	0.0	0.0	8	CAJPTU01	MGYG000298059	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella disiens	ERS6080765	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298059/genomes1/MGYG000298059.gff.gz
MGYG000298063	MAG	1794253	40	60257	52.95	96.75	0.0	0.0	0.0	0.0	18	CAJPPK01	MGYG000298063	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__	ERS6080675	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298063/genomes1/MGYG000298063.gff.gz
MGYG000298065	MAG	1998188	379	8236	42.76	87.37	0.0	93.28	20.55	5.95	16	GCA_015263335	MGYG000298065	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__Oribacterium parvum	SAMN14570857	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298065/genomes1/MGYG000298065.gff.gz
MGYG000298066	MAG	1911598	1	1911598	57.09	90.41	0.95	93.28	99.67	99.35	20	CAKAHI01	MGYG000298066	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia marseillensis	ERS7766744	DRP005925	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298066/genomes1/MGYG000298066.gff.gz
MGYG000298067	MAG	1857555	363	5433	65.93	79.71	3.67	0.0	16.57	0.0	15	CAJPJG01	MGYG000298067	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica_B	ERS6076927	ERP126158	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298067/genomes1/MGYG000298067.gff.gz
MGYG000298068	MAG	963661	34	57049	37.02	67.35	0.0	0.0	0.0	0.0	20	GCA_013332525	MGYG000298068	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__BD1-5;f__UBA2023;g__GN02-873;s__GN02-873 sp013332525	SAMN14602653	SRP256368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298068/genomes1/MGYG000298068.gff.gz
MGYG000298069	MAG	2403355	173	27438	56.55	82.7	4.12	0.0	0.0	0.0	16	CAJPOY01	MGYG000298069	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Centipeda;s__Centipeda periodontii	ERS6080653	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298069/genomes1/MGYG000298069.gff.gz
MGYG000298070	MAG	3012827	272	15850	63.71	93.28	0.79	0.0	0.0	0.0	19	GCA_013333945	MGYG000298070	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Arachnia;s__Arachnia sp013333945	SAMN14602634	SRP256368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298070/genomes1/MGYG000298070.gff.gz
MGYG000298071	MAG	1913624	219	20804	39.17	96.17	2.15	92.44	18.2	0.0	18	GCA_015264545	MGYG000298071	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica	SAMN14571080	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298071/genomes1/MGYG000298071.gff.gz
MGYG000298072	MAG	2299179	1	2299179	35.54	64.49	1.23	94.96	99.67	99.59	20	CAKAHO01	MGYG000298072	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	ERS7766753	DRP005925	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298072/genomes1/MGYG000298072.gff.gz
MGYG000298076	MAG	2693241	165	24461	48.12	97.02	0.0	0.0	0.0	0.0	16	CAJPPA01	MGYG000298076	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella maculosa	ERS6080652	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298076/genomes1/MGYG000298076.gff.gz
MGYG000298077	MAG	571996	21	31651	47.61	55.17	0.0	0.0	0.0	10.91	16	CAJPQF01	MGYG000298077	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp013333625	ERS6080681	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298077/genomes1/MGYG000298077.gff.gz
MGYG000298078	MAG	1058510	237	4489	56.29	56.9	0.0	0.0	0.0	0.0	10	CAJZHY01	MGYG000298078	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__	ERS7621676	ERP125117	France	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298078/genomes1/MGYG000298078.gff.gz
MGYG000298079	MAG	1840341	94	28378	38.19	98.94	0.71	0.0	52.45	0.0	15	CAJPNO01	MGYG000298079	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_A;s__Eubacterium_A nodatum	ERS6080609	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298079/genomes1/MGYG000298079.gff.gz
MGYG000298080	MAG	1508109	556	3685	36.63	56.9	3.45	0.0	0.0	7.28	14	GCA_015256795	MGYG000298080	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__	SAMN14570706	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298080/genomes1/MGYG000298080.gff.gz
MGYG000298083	MAG	1976895	83	44915	57.86	96.29	0.47	0.0	0.0	61.85	17	CAJZKW01	MGYG000298083	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces graevenitzii	ERS7621711	ERP125117	France	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298083/genomes1/MGYG000298083.gff.gz
MGYG000298085	MAG	1976835	45	70048	36.78	98.88	0.0	0.0	0.0	0.0	14	CAJPMU01	MGYG000298085	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans	ERS6080599	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298085/genomes1/MGYG000298085.gff.gz
MGYG000298088	MAG	1833164	76	46923	45.19	98.1	0.63	0.0	0.0	0.0	20	CAJPSS01	MGYG000298088	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	ERS6080742	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298088/genomes1/MGYG000298088.gff.gz
MGYG000298089	MAG	1406701	200	12629	48.93	97.73	0.4	76.47	67.58	0.0	19	GCA_015258825	MGYG000298089	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__Lancefieldella sp000564995	SAMN14570602	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298089/genomes1/MGYG000298089.gff.gz
MGYG000298090	MAG	878839	12	205500	48.62	62.11	1.79	0.0	0.0	0.0	20	CAJPOQ01	MGYG000298090	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__	ERS6080642	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298090/genomes1/MGYG000298090.gff.gz
MGYG000298091	MAG	1020664	123	11067	47.75	60.18	1.61	0.0	0.0	0.0	15	CAKARF01	MGYG000298091	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__	ERS7876852	ERP131993	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298091/genomes1/MGYG000298091.gff.gz
MGYG000298092	MAG	2267084	1	2267084	54.81	93.3	0.63	91.6	99.74	99.69	20	CAKAGT01	MGYG000298092	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum;s__	ERS7766704	DRP005925	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298092/genomes1/MGYG000298092.gff.gz
MGYG000298093	MAG	808514	53	21498	50.54	62.96	0.85	0.0	70.38	34.56	19	GCA_013333515	MGYG000298093	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1103;s__UBA1103 sp013333515	SAMN14602654	SRP256368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298093/genomes1/MGYG000298093.gff.gz
MGYG000298094	MAG	1753766	181	13843	54.89	90.76	0.68	0.0	0.0	0.0	13	CAKAPP01	MGYG000298094	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Kingella_A;s__Kingella_A denitrificans	ERS7876861	ERP131993	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298094/genomes1/MGYG000298094.gff.gz
MGYG000298101	MAG	1316664	5	360202	39.67	60.06	0.08	93.28	99.74	99.76	19	CAKAIO01	MGYG000298101	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	ERS7766773	DRP005925	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002981/MGYG000298101/genomes1/MGYG000298101.gff.gz
MGYG000298102	MAG	1341277	243	8525	44.55	88.03	3.19	0.0	0.0	0.0	9	GCA_015264375	MGYG000298102	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella sp900550455	SAMN14571089	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002981/MGYG000298102/genomes1/MGYG000298102.gff.gz
MGYG000298105	MAG	3069335	50	89866	68.89	99.73	0.57	0.0	0.0	0.0	20	CAJZKH01	MGYG000298105	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris	ERS7621743	ERP125117	France	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002981/MGYG000298105/genomes1/MGYG000298105.gff.gz
MGYG000298106	MAG	1876514	215	10598	38.86	96.34	1.65	92.44	0.0	13.74	15	CAJZFD01	MGYG000298106	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__	ERS7599761	ERP108069	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002981/MGYG000298106/genomes1/MGYG000298106.gff.gz
MGYG000298111	MAG	3023256	119	43871	64.84	99.27	2.15	0.0	0.0	0.0	19	CAJPMS01	MGYG000298111	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	ERS6080601	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002981/MGYG000298111/genomes1/MGYG000298111.gff.gz
MGYG000298113	MAG	2110805	123	25370	60.18	96.78	0.0	94.96	0.0	0.0	20	CAJZIE01	MGYG000298113	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__	ERS7621741	ERP125117	France	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002981/MGYG000298113/genomes1/MGYG000298113.gff.gz
MGYG000298117	MAG	1785798	145	16869	43.76	94.07	1.08	0.0	0.0	29.37	18	CAJPNS01	MGYG000298117	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058;s__	ERS6080607	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002981/MGYG000298117/genomes1/MGYG000298117.gff.gz
MGYG000298118	MAG	992849	26	64577	52.05	60.23	1.71	0.0	0.0	7.15	20	GCA_013333645	MGYG000298118	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Saccharimonas;s__Saccharimonas sp013333645	SAMN14602648	SRP256368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002981/MGYG000298118/genomes1/MGYG000298118.gff.gz
MGYG000298125	MAG	636728	68	12471	51.76	51.76	1.85	0.0	0.0	0.0	12	GCA_015257735	MGYG000298125	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x;s__	SAMN14570658	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002981/MGYG000298125/genomes1/MGYG000298125.gff.gz
MGYG000298127	MAG	2185308	184	16923	51.59	90.0	0.0	0.0	0.0	0.0	17	CAJPTV01	MGYG000298127	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae_A;g__Bacteroides_D;s__	ERS6080762	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002981/MGYG000298127/genomes1/MGYG000298127.gff.gz
